Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,BF(F440),GF(F520),RF(F690),FrF(f740)
CK1_1218_2,CK1,1218,2,0.035364,0.1575208559135547,0.1136955542635972,0.0991186777717548,0.05973041643842,0.124286048822188,0.233720263983628,0.2915299692026732,0.2852948361018101,0.3075365898955725,0.287241349269731,0.0604762290928293,0.0884351351492372,0.0640885754692483,0.254623338697181
CK1_1218_3,CK1,1218,3,0.034944,0.1460793875611811,0.1031809945454055,0.0951975736097312,0.0598931163157006,0.1137467630997781,0.1993933146156762,0.2391897813909008,0.2404165476761374,0.2487691952874821,0.2398605717633905,0.0596624052630354,0.0827025014217049,0.0661274025959264,0.2379185685725136
CK1_1214_1,CK1,1214,1,0.040824,0.1828540358590938,0.1517755490485057,0.132916866161309,0.0772398718005523,0.1645955404698624,0.3086063897223907,0.3553338910066087,0.3399319603471539,0.3681078036946153,0.3327223279292396,0.0682068240180188,0.116363127898516,0.0763382797945889,0.3124174681706035
CK1_1214_2,CK1,1214,2,0.043512,0.1780098816676793,0.151510338013343,0.1370369437149517,0.0821319767415428,0.1640204560765066,0.289951260668791,0.3361853880730389,0.3337921880140878,0.3490622895444817,0.3273057021808125,0.066046163371941,0.10801545292999,0.07587164792998,0.3063421942055592
CK1_1214_3,CK1,1214,3,0.042336,0.1763301545605233,0.1659436139718617,0.1529821720399041,0.0957961873444753,0.1813620802331089,0.2782644428144046,0.3388012892249453,0.310918830519044,0.333634338845941,0.3003902227534082,0.0674218505878079,0.1238947299010337,0.0842513873251238,0.3030967338616292
CK1_1210_1,CK1,1210,1,0.036288,0.2129760995848685,0.1677189069002082,0.1567972190292146,0.0918802235483565,0.1939406281030931,0.3149530532849651,0.3211461335542651,0.3505305651672434,0.3719509826573376,0.3547176777531736,0.0774092183636697,0.1189301137794913,0.0962657666950363,0.3006261483701111
CK1_1210_2,CK1,1210,2,0.035364,0.2066607087279356,0.1624808536181487,0.1501894282971285,0.0852806020033939,0.1731250741650315,0.2818953771767875,0.3105810334758073,0.3348230489445534,0.3268312300586024,0.3320333365196727,0.0787916874869638,0.1263676957741037,0.094970278548981,0.3162360199284194
CK1_1210_3,CK1,1210,3,0.037044,0.2145493624697255,0.1895890023801553,0.1660445320138463,0.0983943649826886,0.2027316295063444,0.3370137666440984,0.3684845476865508,0.3875409596597714,0.4072957147136884,0.3895415608202253,0.0758194138050265,0.1230328742939724,0.0907906378814655,0.3218033248757922
CK1_1110_1,CK1,1110,1,0.038108,0.1337687506979168,0.0863912705041448,0.0802856816188776,0.0527840204898409,0.0977959911859781,0.1837256061959393,0.2038247056835464,0.1983849736986788,0.2224124427003741,0.205711939802971,0.0569150593774121,0.0723300941742287,0.0576580869458064,0.2126402828059585
CK1_1110_2,CK1,1110,2,0.039016,0.130740453600128,0.0816360243121232,0.0824199347331577,0.0513490246893376,0.0990694073999211,0.1669021203893638,0.2082626959338308,0.1892150355237603,0.2028675966122997,0.1912192924805623,0.0571074463742504,0.0724769377192303,0.0586744790627489,0.2027916190113446
