Sample_ID,Treatment,Variety,Sample,D_conv,D_stress,D_recovery,Category,Rank,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,VI_NDVI,VI_NDRE,VI_EVI,VI_SIPI,VI_PRI,VI_MTCI,VI_GNDVI,VI_NDWI,BF(F440),GF(F520),RF(F690),FrF(f740),SR_F690_F740,SR_F440_F690,SR_F440_F520,SR_F520_F690,SR_F440_F740,SR_F520_F740,OJIP_FvFm,OJIP_PIabs,OJIP_TRo_RC,OJIP_ETo_RC,OJIP_Vi,OJIP_Vj,OJIP_ABS_RC_log,OJIP_DIo_RC_log,Trt_CK1,Trt_D1,Trt_RD2,mahal_distance,outlier_flag,sample_weight,dR460_520,dR520_580,dR580_660,dR660_710,dR710_730,dR730_760,dR760_780,dR780_810,dR810_850,dR850_900
CK1_73_2,CK1,73,2,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8,0.0446636285659727,0.2004896333359584,0.1731130298193953,0.179517441336247,0.098613735438157,0.1993403280812494,0.3275803065868763,0.364944833579246,0.383842074795637,0.3885443873824791,0.377267487849314,0.3679651323886692,0.5951469108348528,0.2452594340914214,0.6053579757886566,0.0732773243049701,-2.830112278418337,0.319259579922441,0.0147254174248463,0.0769660622684659,0.1550553890811623,0.087365009297172,0.3390150044654395,0.2577024854966503,0.8809712583966973,0.4963778600338808,1.774799661226631,0.2270284831998026,0.4573702844802322,0.8319999999999999,3.298361111111112,1.2851444444444446,0.6952583333333335,0.8214583333333334,0.45615,0.93414047313695,0.2310081000746456,True,False,False,2.382141108964193,0,1.0,0.0025971000794997616,-0.0004562767252760516,8.005514396064624e-05,-0.0016180741179618,0.00503632963215462,0.004274665950187564,0.0018682263496184847,0.0006299080405463656,0.00011755781467105292,-0.0002255379906633015
CK1_73_3,CK1,73,3,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8,0.0291646259913107,0.1752960673329404,0.1576794856373584,0.1232143251269907,0.0805255646195099,0.1536843859629504,0.2607129980035689,0.3153411665812898,0.2917525164873965,0.3501529096723227,0.3061119051752184,0.4794133767910711,0.6260525219737475,0.3032796268893393,0.6780956940319014,0.0529065318253641,-4.22095726519346,0.3327760638200905,0.0671085871038579,0.0740270970028112,0.1420628511858073,0.085603591536284,0.3056900041052598,0.2800339898546511,0.8647662508991506,0.5210869437913839,1.659543115777311,0.2421639438138274,0.4647284805898239,0.8261424897222223,2.359297142857143,1.4344657142857142,0.7093240694980695,0.8540685714285715,0.4999699331388888,1.006759079031908,0.2640924406401213,True,False,False,3.1554044342882612,1,1.0,0.002435524022360495,-0.0002936096949263667,-0.00043081450637959625,-0.000853775210149616,0.003657941067172025,0.00356762040135395,0.002731408428886045,-0.0007862883364631108,0.001460009829623156,-0.0008808200899420859
D1_73_1,D1,73,1,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8,0.0397581999183538,0.159321931815064,0.1537554297460389,0.1631320343284841,0.1150864504363704,0.1751645211005882,0.2565491360110307,0.2545030822790656,0.2688431677991699,0.2710795738215683,0.2758458931147359,0.2486058351321636,0.4039535162228754,0.1382747779206013,0.5327388063978287,0.017779957131013,-2.944343151011525,0.2596590404934366,-0.0087147510592174,0.0615661046876003,0.0823143237286866,0.0688413179507598,0.2694374189201509,0.2555002130034924,0.8943190867177302,0.7479391413787507,1.195711036037871,0.2284987174813898,0.3055044248420833,0.7960199169310098,2.032736740797941,1.3007556024596023,0.6041768850278849,0.853145945945946,0.5526777559506006,0.971541424509223,0.3024484594806867,False,True,False,1.9498465599654027,0,1.0,0.0019927288649451698,-9.277503448375154e-05,0.00011720755728056518,-0.0009609116778422741,0.0030039035332108895,0.0027128204970147496,-0.0001023026865982546,0.00047800285067014315,5.5910150559959626e-05,9.532638586335241e-05
D1_73_2,D1,73,2,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8,0.0398850326447359,0.1722125333573058,0.1335948231935406,0.1331442530210378,0.0639713262011525,0.1451767397931419,0.2765431014669777,0.2451703529386997,0.2458890460921587,0.2942420068613594,0.3107590840364462,0.3769371384259211,0.6428311269914098,0.224498979321834,0.5951454177003718,0.1262811679440947,-3.0730487395253827,0.2616106457462872,-0.0273009047766274,0.06102931945209,0.0724026918564579,0.0743337786072164,0.2688964855711065,0.2764401268454499,0.8210173155930954,0.8429150602410239,0.9740214087815364,0.2269621311701944,0.2692586021559809,0.7974423157621671,1.8350694735306736,1.3727725694265691,0.6489090922350922,0.8589166666666667,0.5480853385331832,1.0068180929184325,0.3191902793211178,False,True,False,3.046379998087074,1,1.0,0.0022054583452094986,-0.0006436285027294199,-5.6321271562850135e-06,-0.001383458536397706,0.00406027067959947,0.0043788787224611925,-0.001568637426413899,2.3956438448632932e-05,0.001208824019230017,0.0003303415435017365
D1_73_3,D1,73,3,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8,0.0403247700996319,0.1553943435665767,0.1617837825992148,0.133022055453544,0.0855324037868117,0.1579514713193706,0.2236085340134984,0.2756635843517295,0.277209450211327,0.2677958696334242,0.2371097768080962,0.3362469732784847,0.5158473847300925,0.1910609483471264,0.5675172821367324,-0.0201446395685049,-2.907499332410611,0.2656052114021023,0.0607758955272538,0.0576056680280636,0.0625700296044299,0.0688330756333074,0.2368292505015974,0.2906443163522096,0.8368893502777037,0.9206591126803506,0.9090110958699046,0.2432371334272805,0.2641989088995067,0.7954478860901724,1.861295505276705,1.4937447916487916,0.6753402827112828,0.8639257142857142,0.5549662284498498,1.0627674985784763,0.345392165336772,False,True,False,2.239803538084349,0,1.0,0.0019178262244490798,0.00010649065054396853,-0.00035952158932088497,-0.000949793033334646,0.0036209533766279446,0.002188568756470927,0.002602752516911555,5.15288619865828e-05,-0.00023533951444756895,-0.0006137218565065606
RD2_73_1,RD2,73,1,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8,0.0509967980863984,0.2054525401421473,0.188912250182915,0.1862547540580958,0.1228462015856997,0.2278427233441818,0.3498148440595899,0.3721564502210197,0.3343085216307714,0.3149500983782857,0.2973003219423476,0.2567719439844173,0.4387974424738385,0.1569453399548976,0.526637559385416,0.041941599150889,-3.579464188693533,0.2104093063909362,0.0288277081521841,0.0797377136690201,0.1522166405246628,0.1023130084540637,0.3255064225630627,0.3143194767618138,0.7793506885968027,0.5238436043641121,1.4877545160274444,0.2449651008931334,0.4676302214848302,0.8083166666666667,1.161036706278471,1.982411364626659,0.7142310625866509,0.8543984551767676,0.6073355549770417,1.3005323346259303,0.4001687088040442,False,False,True,2.96197225058389,0,1.0,0.0025742623675958152,-0.00027567149932053865,-3.32187015602399e-05,-0.0012681710494479221,0.005249826087924105,0.00406573735718027,0.0011170803080714886,-0.0012615976196749424,-0.0004839605813121428,-0.00035299552871876136
RD2_73_2,RD2,73,2,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8,0.053977646506254,0.215415184771698,0.1925384982854975,0.2103509646537801,0.1276717768621398,0.2177749519526333,0.2896772596528519,0.3244116616759728,0.3221254958272642,0.3423776174043572,0.3400182873438978,0.2388634440344608,0.4567729330479926,0.1500540873887993,0.5217750270341387,0.0560766759332958,-1.9594469577389488,0.2276157600359724,0.0034574211886339,0.0752687650200281,0.1272417886782409,0.098933170470841,0.299770702527632,0.3300294845481729,0.7608041325849552,0.5915412361202164,1.2861387939359483,0.2510877959729279,0.4244637236491306,0.8029086359928668,1.118316118043177,2.1713172469796,0.8090957684690038,0.8473366904708853,0.5911737902711593,1.4270552928132825,0.5868613626993261,False,False,True,3.4903769528651494,1,1.0,0.0026906256377573997,-0.00038127810810334174,0.00022265582960353248,-0.001653583755832806,0.004505158754524676,0.0023967435900072867,0.0017367201011560447,-7.6205528290287e-05,0.000506303039427325,-4.718660120918816e-05
RD2_73_3,RD2,73,3,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8,0.0397825534103059,0.1792948389843068,0.1901912393603157,0.1395895724664178,0.1130485904076136,0.1631746517920146,0.2510556864828785,0.26563512434049,0.257995784049948,0.3117319923286044,0.2684705268305582,0.3814185566387174,0.4677318360326202,0.232511743114774,0.6025624744555562,-0.0294906926449788,-5.199773553573632,0.2697146975924201,0.0745626984751548,0.0736124924765751,0.1230029792056154,0.0965255725802913,0.331546041146541,0.2911377623975727,0.7626216600692117,0.5984610526682951,1.2743045784666998,0.2220279638984924,0.3709981839721293,0.8083166666666667,1.2212627312339075,2.0356702772826303,0.8067959467221233,0.8618629828060012,0.5787238485064534,1.3085556449456288,0.3841737513733631,False,False,True,3.560216420804961,1,1.0,0.0023252047595666817,0.00018160667293348198,-0.0006325208361737239,-0.0005308196411760838,0.00250630306922005,0.0029293678230287975,0.0007289718928805755,-0.000254644676351401,0.0013434052069664095,-0.0008652293099609232
CK1_1099_1,CK1,1099,1,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,0.0322543916518913,0.1669963044103894,0.1623836488693103,0.1360510883265176,0.0694090871423007,0.1607376758201293,0.2881587689783874,0.2873180627665938,0.3152271975582753,0.3447817418062732,0.3230253591851095,0.4341023331928075,0.6648448863450773,0.2719007819772248,0.6499709056951761,0.014004056694251,-3.2824596842409943,0.3473877761569301,0.0325788428808374,0.0713624431266913,0.1127241425049839,0.0848591754838592,0.3188118056095515,0.2661732531986874,0.8409514072661451,0.6330715095945749,1.3283671651227404,0.2238387721178208,0.3535758101996996,0.8132499999999999,2.5060666666666664,1.3556222222222225,0.6473,0.8814972222222223,0.5092500000000001,0.9841746924503112,0.2776085881822088,True,False,False,2.6909721998229172,0,1.0,0.0022456985459749688,-7.687759235131819e-05,-0.0003291570067849088,-0.0013328400236843382,0.00456642943389143,0.0042473697719419366,-4.203531058968035e-05,0.00093030449305605,0.0007388636061999479,-0.0004351276524232739
CK1_1099_2,CK1,1099,2,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,0.0425589693543534,0.2297471001804872,0.1588450945852893,0.1439358660591456,0.0830874171369702,0.1770414394347258,0.3677003457762466,0.3940240302401132,0.4353191289955791,0.4168916812533321,0.3996899032783783,0.4867018684327088,0.6676364374516676,0.3479245682250275,0.6674649161334157,0.1824586456752898,-4.677406477049798,0.2894113165142064,0.0210655962596952,0.0725273782958044,0.1127318910659935,0.0855686759484357,0.3258078201131012,0.2626354268981873,0.8475926196959114,0.6433616747279662,1.317443441595172,0.2226078497697396,0.3460073211019273,0.8190000000000001,2.877475,1.3179111111111113,0.650638888888889,0.8681611111111112,0.4950944444444445,0.961685720964546,0.2609658512459067,True,False,False,3.4194815212297343,1,1.0,0.003119802180435563,-0.001181700093253298,-0.00018636535657679635,-0.0012169689784435082,0.00469770111488778,0.006355296878050694,0.0013161842231933286,0.0013765032918488648,-0.00046068619355617567,-0.00034403555949907627
