Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,D_conv,D_stress,D_recovery,Category,Rank,MD_ck1ref
CK1_1235_2,CK1,1235,2,0.0375341358818304,0.1268488506073218,0.115304892726222,0.1062237673713767,0.0694598100175063,0.1264227813700572,0.1920122260017478,0.2724382936163779,0.2140595437309703,0.2466509357900662,0.2194521825303969,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,3.2532273419712543
CK1_1235_3,CK1,1235,3,0.03549322473267147,0.15987656875889228,0.1040249062877211,0.12039770217959828,0.06241825288857359,0.13606198210974618,0.268245465352644,0.26322138970234693,0.3023805712299779,0.3181948729950622,0.29172587405257533,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,3.5152743872503023
D1_1235_1,D1,1235,1,0.0502919269832149,0.1532142451010895,0.1673211872856766,0.1618420454586241,0.1140728933522092,0.1775355941038383,0.2798677774265782,0.2521466142618933,0.2173409770663412,0.2376409367125859,0.2312427269649805,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,6.226523550711119
D1_1235_2,D1,1235,2,0.0295957429635171,0.1300983643618538,0.1178005893840065,0.1156441517098953,0.0608832662171597,0.1157441517098954,0.1610802534758289,0.1776978972517545,0.2191093567039574,0.2362470295784238,0.2174279152316597,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,3.731433461655503
D1_1235_3,D1,1235,3,0.036741277155131764,0.1503381534072876,0.1641739413496216,0.15976630033134256,0.09877016451330099,0.17596242405803256,0.23197047231297876,0.2733184875510549,0.1938487553626455,0.2122922898058909,0.2618079625224553,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,7.297256110527355
RD2_1235_1,RD2,1235,1,0.0302537575611256,0.1382426503211118,0.0914616963050432,0.1033112373296545,0.0603939989283767,0.1034112373296545,0.0877111944383927,0.0812091086075715,0.0988416982185109,0.1488958783995316,0.1504393339297037,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,6.071225799935602
RD2_1235_2,RD2,1235,2,0.0429690239554638,0.2035322585223539,0.1330813470542593,0.1466615728572022,0.0715729046769944,0.1467615728572022,0.2051756086810255,0.1846205740712901,0.1699506015034621,0.1467615728572022,0.1319468369326176,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,8.536528713407082
RD2_1235_3,RD2,1235,3,0.047703191213972665,0.18059400792907918,0.14484211861687968,0.12056960060712618,0.0995912451405505,0.14301700995582037,0.16381641528347937,0.19938912459010744,0.0740774320314903,0.1364236378142295,0.18173351524088652,0.1730928483356376,0.2353341300842579,0.1108515665870173,Sensitive,13,10.433965301274727
CK1_1252_1,CK1,1252,1,0.03676986373076623,0.15980986955414572,0.12661906102233603,0.11542592723983175,0.0710984528486516,0.140463020332826,0.29449696016167215,0.3372635197690892,0.34724534080831204,0.33946399652114784,0.32140397586764086,0.5746672551712988,0.6470500822891091,0.5022844280534884,Tolerant,1,3.515274387250304
CK1_1252_2,CK1,1252,2,0.04480053203238308,0.186628177055885,0.14596071235181424,0.1197730393554024,0.07039155869634114,0.16614835808425818,0.3248244994122772,0.3733771933771207,0.3756290482681524,0.39028494285157683,0.3664739946123253,0.5746672551712988,0.6470500822891091,0.5022844280534884,Tolerant,1,3.5152743872503045
