Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,D_conv,D_stress,D_recovery,Category,Rank,BF(F440),GF(F520),RF(F690),FrF(f740),OJIP_ABS_RC,OJIP_DIo_RC,OJIP_ETo_RC,OJIP_Fm,OJIP_Fo,OJIP_Fv,OJIP_FvFm,OJIP_N,OJIP_PIabs,OJIP_Sm,OJIP_TRo_RC,OJIP_Vi,OJIP_Vj,OJIP_phiEo,OJIP_phiPo,OJIP_psiEo
D1_1218_2,D1,1218,2,0.0377897662094792,0.1832691673762006,0.2014079020452747,0.1956854828322939,0.1232692626009248,0.2249835290722559,0.2777263942558641,0.2909440715320944,0.3038871844788425,0.3176298071444391,0.3143968332656023,0.2061603258263428,0.3093793559901545,0.1029412956625311,Sensitive,12,0.067984724254451,0.1103799215402888,0.0915885419781989,0.298585369461158,1.518827161876162,0.3677151008151008,0.6395277055627056,13526.02475137037,2805.2481588027026,10720.776592567669,0.792603650343129,17.635196596310596,2.6342224179608187,13.494352273403404,1.232228672529673,0.8315604847704848,0.5134945152532533,0.3878228917488917,0.792603650343129,0.4867738102388102
D1_1218_3,D1,1218,3,0.0445057007478832,0.1973412602574989,0.2250343203312886,0.1972263128274962,0.1057715369430395,0.2274489664472807,0.3225558699365182,0.2825160911500973,0.3548400055256346,0.335110627966501,0.2989527399656946,0.2061603258263428,0.3093793559901545,0.1029412956625311,Sensitive,12,0.068162146856745,0.1185819372216678,0.0858429752455071,0.3218967990199484,1.883281050765051,0.4799117674817674,0.6810858801658802,13526.02475137037,2808.638775809009,10717.38597556136,0.7923529767661813,19.429818421707427,1.388049,11.746673441181184,1.4844916884026884,0.8449656435006435,0.5685557292532533,0.3352917806377806,0.7923529767661813,0.4309076197626197
RD2_1218_1,RD2,1218,1,0.0497363511715996,0.1810697568845735,0.2028241336829154,0.1937419735638389,0.1402453873926587,0.1938419735638389,0.1994190401921002,0.2061820828010744,0.1168074612289289,0.1938419735638389,0.2056289466723112,0.2061603258263428,0.3093793559901545,0.1029412956625311,Sensitive,12,0.0767802495518387,0.1181037497100714,0.1113044984435754,0.284610886623086,2.111359703131704,0.7589215445162503,0.6088891891891891,13795.441820510508,3427.3729419290294,10368.068878581478,0.7515575806471563,18.698725790790792,0.9775433161733158,12.089785601196194,1.591490555555556,0.8323105963105965,0.6350776220371694,0.2748321469789117,0.7515575806471563,0.3649352363287657
RD2_1218_2,RD2,1218,2,0.055766107453133,0.1862657646654965,0.2072629304771374,0.2273802460588843,0.1384940043915415,0.2274802460588843,0.289998084206971,0.2304693998007739,0.2427804930309183,0.2274802460588843,0.2017228360505702,0.2061603258263428,0.3093793559901545,0.1029412956625311,Sensitive,12,0.0785627903421787,0.1230222117994015,0.1191693981039571,0.3093357102056333,2.4696094779064786,0.7651380610327667,0.7133249999999999,13740.842721411407,3119.851920908008,10620.9908005034,0.772950467146636,20.920778493493497,0.9542400879450884,10.74853019579079,1.870189047619048,0.8361498605748605,0.6344298742894217,0.284823513345278,0.772950467146636,0.3655829840765135
RD2_1218_3,RD2,1218,3,0.045712552358995,0.1663764407928464,0.1545391576369676,0.1535169468899033,0.1152608272735076,0.1837535570716937,0.181508465063495,0.2268558759256821,0.1629662310430936,0.2193889462518987,0.1929009995148836,0.2061603258263428,0.3093793559901545,0.1029412956625311,Sensitive,12,0.0735938939911412,0.1172724444462117,0.1103357519991645,0.3048789420927539,2.2715192398112403,0.65125266420737,0.7037885714285714,15402.0376803003,3538.5854599913414,11863.452220308958,0.7702521229046656,24.081348493493497,1.2141938181038183,13.031310314124129,1.7859619047619042,0.8300856542256544,0.6150984442616438,0.3024715292182939,0.7702521229046656,0.3852906031241324
CK1_1219_1,CK1,1219,1,0.0349487228247772,0.1776427323540549,0.1068337142888982,0.0980306078916063,0.0632702620215839,0.1189935521690942,0.2007929016619541,0.2169566536878378,0.1934609205001509,0.214748654118544,0.2361034701778512,0.2370211071473494,0.3988462936126172,0.0751959206820815,Sensitive,10,0.0626681400311229,0.0894688055930958,0.0687129773527514,0.286140345780124,1.727335135135135,0.3204216216216217,0.7088486486486486,21838.027027027027,4008.081081081081,17829.945945945947,0.8155945945945946,18.701686486486487,2.511475675675676,13.510594594594597,1.4069216216216216,0.8199027027027026,0.4882486486486486,0.4182783783783783,0.8156918918918917,0.5117513513513514
CK1_1219_2,CK1,1219,2,0.0403478639359623,0.1582864386458512,0.1209952972096136,0.1224714703750369,0.0742062595387107,0.1497450725845237,0.2496011047268153,0.2920403289906546,0.276558839436165,0.3131712285579487,0.2819689343392919,0.2370211071473494,0.3988462936126172,0.0751959206820815,Sensitive,10,0.067576869518772,0.1077808657079844,0.0735909690583129,0.3071641969788544,1.5174999999999998,0.2817055555555556,0.659263888888889,20709.527777777777,3824.8611111111113,16884.666666666668,0.8152777777777778,18.277886111111112,3.0123388888888893,14.939158333333332,1.2357861111111113,0.8235972222222222,0.4629861111111111,0.4383444444444444,0.8152305555555556,0.5370138888888888
CK1_1219_3,CK1,1219,3,0.049598218365,0.1986838742641192,0.1664522523154386,0.1320041185866991,0.0721480575774009,0.1570501649009795,0.2731440790798463,0.3110895052231476,0.334484994254634,0.3353543395183981,0.315431165198339,0.2370211071473494,0.3988462936126172,0.0751959206820815,Sensitive,10,0.0696221673791444,0.0999460122961687,0.0719049972539387,0.2870279773711663,1.5912828571428568,0.3001142857142856,0.6640628571428573,20326.11008222222,3821.302211944445,16504.80787027778,0.8121206275833334,18.018982857142856,2.697794285714286,14.145379655277775,1.291162857142857,0.8435685714285714,0.4795593106944443,0.42296,0.8120428571428572,0.5203685714285714
D1_1219_1,D1,1219,1,0.0541976266644716,0.1557181347854207,0.1943472582160444,0.2125311903516217,0.1270459312688743,0.2443215701348534,0.3343390981711371,0.3544898636730489,0.3671375751248276,0.40396503356542,0.3627927615007429,0.2370211071473494,0.3988462936126172,0.0751959206820815,Sensitive,10,0.0640997386130235,0.0843361100266601,0.0848860802001329,0.2159067293441177,1.9008026914056912,0.3884314244244246,0.6506864864864863,15325.10931207958,2831.537501856107,12493.571810223477,0.8152354124075168,21.42054848419848,2.0250000000000004,14.25744635155681,1.5162877365937364,0.8728697776347777,0.5433941474795797,0.3701358344058344,0.8152354124075168,0.4565316108966109
D1_1219_2,D1,1219,2,0.0553609478359663,0.1609038424874964,0.2348893026176668,0.1776545154386062,0.1070098158018513,0.2309831250309443,0.3948450605519374,0.4331089043789268,0.4339175970753164,0.4599552523743437,0.401261900424101,0.2370211071473494,0.3988462936126172,0.0751959206820815,Sensitive,10,0.0627266379203538,0.0970969897736226,0.0759504713468216,0.2646566022060791,1.6729021658801664,0.3291441121121122,0.6529027777777777,17781.017720487987,3170.60056491917,14610.417155568815,0.8193305555555553,20.533814024739023,2.796011111111111,14.25744635155681,1.3476745984555982,0.8520457197197197,0.4893863396717718,0.4173773509223508,0.8193272222222223,0.5105394187044188
