Sample_ID,Treatment,Variety,Sample,OJIP_ABS_RC,OJIP_DIo_RC,OJIP_ETo_RC,OJIP_Fm,OJIP_Fo,OJIP_Fv,OJIP_FvFm,OJIP_N,OJIP_PIabs,OJIP_Sm,OJIP_TRo_RC,OJIP_Vi,OJIP_Vj,OJIP_phiEo,OJIP_phiPo,OJIP_psiEo,D_conv,D_stress,D_recovery,Category,Rank
D1_1110_2,D1,1110,2,1.6418101249821244,0.3381614514514514,0.6824241914771915,14292.934259259262,2786.017009601852,11506.91724965741,0.8050773228879149,18.37055525925926,2.463427650793652,13.11488314814815,1.3282698156728157,0.8496625884455883,0.4995196296296297,0.418336111111111,0.8050773228879149,0.5004803703703704,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11
D1_1110_3,D1,1110,3,1.7842379027599022,0.3750420070070069,0.676929747032747,18542.77037037037,3632.639231824074,14910.131138546296,0.8040940399268118,17.66425248148149,1.7832637619047629,11.484899814814815,1.4338225934505937,0.8622014773344773,0.5422474074074074,0.3807138888888888,0.8040940399268118,0.4577525925925925,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11
RD2_1110_1,RD2,1110,1,4.069925886314891,5.640538722222228,0.5932405555555555,13523.254444444445,3262.345328664464,10260.90911577998,0.7587603381962037,20.173685555555554,1.1931538719003765,12.338838425925925,1.591490555555556,0.8692192592592592,0.7053399426111114,0.3214213574074073,0.7587603381962037,0.2931783888888889,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11
RD2_1110_2,RD2,1110,2,4.069925886314891,5.640538722222228,0.8237332941176471,11383.893333333332,3122.039773108909,8425.022222222222,0.7257493827733591,26.81487722222224,0.5899736666666666,12.64772731481481,2.1498240211640214,0.8200653703703703,0.6379777777777779,0.2321571666666665,0.7257493827733591,0.3620222222222222,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11
RD2_1110_3,RD2,1110,3,1.8987313888888893,0.7723595555555502,0.6073777777777777,14140.115555555556,3624.039773108909,10516.075782446647,0.7437050808481513,17.622933888888884,0.6941233163448205,9.638015277777775,1.6462294656084653,0.8633153703703703,0.6392444444444444,0.2737046907407408,0.7437050808481513,0.3607555555555555,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11
CK1_1210_1,CK1,1210,1,1.8595402777777776,0.3555455555555556,0.6770666666666667,22223.444444444445,4175.111111111111,18048.33333333333,0.8120752314916667,16.608,1.937913055555556,10.838033333333334,1.5154024999999998,0.8698000000000001,0.535113888888889,0.3797416666666666,0.8119977380952381,0.464886111111111,0.3561671112879607,0.3130108635819076,0.3993233589940138,Intermediate,7
CK1_1210_2,CK1,1210,2,1.8533138888888887,0.3409999999999999,0.695811111111111,22664.166666666668,4142.611111111111,18521.555555555555,0.8164166666666666,17.890716666666663,1.9547944444444445,12.732677777777775,1.5123166666666663,0.8649166666666668,0.5335111111111112,0.3811611111111111,0.8164083333333333,0.4664888888888888,0.3561671112879607,0.3130108635819076,0.3993233589940138,Intermediate,7
CK1_1210_3,CK1,1210,3,1.8595402777777776,0.3555455555555556,0.6946166666666667,20805.13888888889,3887.1666666666665,16917.972222222223,0.8123611111111112,16.537733333333335,1.937913055555556,10.6069577027027,1.5154024999999998,0.87595,0.535113888888889,0.3797416666666666,0.8123777777777779,0.464886111111111,0.3561671112879607,0.3130108635819076,0.3993233589940138,Intermediate,7
D1_1210_1,D1,1210,1,2.038382547976548,0.6352137037037039,0.5924597222222222,15073.659935442944,3542.985555555555,11530.674379887389,0.7649551886715399,21.468324703703704,1.6115987437437438,11.504063296296296,1.5372709897039898,0.8578514065494066,0.5851412486093093,0.3212942052052051,0.7649551886715399,0.4148147383097382,0.3561671112879607,0.3130108635819076,0.3993233589940138,Intermediate,7
D1_1210_2,D1,1210,2,1.640865325754326,0.3750162037037036,0.6899782205777205,14184.271046554051,3022.457777777778,11161.813268776275,0.7869148320799991,16.44247192592593,1.7445164104104105,11.836654962962966,1.3736609897039895,0.859606962104962,0.5462065263870871,0.3691492052052051,0.7869148320799991,0.4537494605319604,0.3561671112879607,0.3130108635819076,0.3993233589940138,Intermediate,7
D1_1210_3,D1,1210,3,1.8521931035321024,0.4291300925925925,0.6928089110539111,15582.382157665164,3237.457777777778,12344.924379887389,0.7922360172520071,18.006674703703702,1.655319188188188,11.742954962962964,1.5308748785928783,0.8614486287716286,0.554334304164865,0.3627047607607607,0.7922360172520071,0.4456216827541827,0.3561671112879607,0.3130108635819076,0.3993233589940138,Intermediate,7
RD2_1210_1,RD2,1210,1,2.837744292929293,0.4129251851851853,0.7961746296296296,17043.94814814815,2770.0185185185182,14273.92962962963,0.8083166666666667,23.9768443313688,1.3634263041613035,13.043070002868578,2.075904281481482,0.8600488888888889,0.5573274074074074,0.3594918518518519,0.8082855555555556,0.4426725925925926,0.3561671112879607,0.3130108635819076,0.3993233589940138,Intermediate,7
RD2_1210_2,RD2,1210,2,2.4894581818181813,0.3395422222222222,0.7586135185185185,21220.19814814815,3485.2407407407413,17734.957407407408,0.8083166666666667,20.979274886924355,1.6116207486057486,12.677572780646356,1.8431626148148148,0.8651933333333333,0.533057962962963,0.3830390740740741,0.8082855555555556,0.466942037037037,0.3561671112879607,0.3130108635819076,0.3993233589940138,Intermediate,7
