variety,treatment,replicate,plant_height,leaf_area,leaf_length,leaf_width,SPAD
1214,D1,3,35.63333333333333,6.1275,15.466666666666667,0.5166666666666667,26.7
1214,RD2,1,34.0,12.67,24.133333333333336,0.6999999999999998,27.608333333333334
1214,RD2,2,31.96666666666667,11.882499999999999,22.633333333333336,0.6999999999999998,21.8
1214,RD2,3,36.93333333333333,13.905000000000001,25.2,0.7333333333333334,28.608333333333334
1218,CK1,1,42.266666666666666,28.745000000000005,24.366666666666664,1.6333333333333335,26.891666666666666
1218,CK1,2,37.03333333333333,10.565,26.5,0.5333333333333333,27.958333333333332
1218,CK1,3,34.63333333333333,9.9,26.400000000000002,0.5,29.71666666666667
1218,D1,1,30.666666666666668,5.68,18.933333333333334,0.4000000000000001,26.3875
1218,D1,2,28.46666666666667,7.125,22.03333333333333,0.43333333333333335,26.8375
1218,D1,3,29.933333333333334,6.56,20.366666666666664,0.43333333333333335,22.5375
1218,RD2,1,30.400000000000002,8.1625,21.766666666666666,0.5,22.09166666666667
1218,RD2,2,29.0,7.357500000000001,22.433333333333334,0.43333333333333335,23.041666666666668
1218,RD2,3,27.733333333333334,8.362499999999999,22.3,0.5,22.09166666666667
1219,CK1,1,36.63333333333333,9.625,25.666666666666668,0.5,25.02416666666667
1219,CK1,2,37.6,8.695,26.46666666666667,0.43333333333333335,25.45
1219,CK1,3,36.4,9.545,25.400000000000002,0.5,23.441666666666666
1219,D1,1,29.933333333333334,2.81,18.733333333333334,0.20000000000000004,18.9
1219,D1,2,28.599999999999998,5.085,18.333333333333332,0.3666666666666667,20.9625
1219,D1,3,28.733333333333334,5.4325,21.566666666666666,0.3333333333333333,25.05
1219,RD2,1,27.03333333333333,7.0125,21.53333333333333,0.43333333333333335,20.108333333333334
1219,RD2,2,26.8,6.7875000000000005,20.733333333333334,0.43333333333333335,19.466666666666665
1219,RD2,3,28.26666666666667,5.44,18.133333333333333,0.4000000000000001,20.775000000000002
1228,CK1,1,36.63333333333333,7.9875,18.833333333333332,0.5666666666666667,24.599999999999998
1228,CK1,2,37.6,7.2625,19.366666666666667,0.5,24.816666666666666
1228,CK1,3,36.4,7.265000000000001,18.233333333333334,0.5333333333333333,23.741666666666664
1228,D1,1,23.566666666666666,6.1375,16.366666666666667,0.5,22.6125
1228,D1,2,27.96666666666667,6.6125,17.633333333333333,0.5,19.875
1228,D1,3,26.433333333333334,6.3999999999999995,15.733333333333334,0.5333333333333333,20.0125
1228,RD2,1,27.03333333333333,9.51,22.366666666666664,0.5666666666666667,18.891666666666666
1228,RD2,2,26.8,10.334999999999999,22.96666666666667,0.6,18.441666666666666
1228,RD2,3,28.26666666666667,11.1625,26.366666666666664,0.5666666666666667,19.591666666666665
1235,CK1,1,32.76666666666667,8.7175,22.833333333333332,0.5,27.75
1235,CK1,2,41.96666666666667,13.634999999999998,30.3,0.6,27.75
1235,CK1,3,33.166666666666664,8.450000000000001,24.233333333333334,0.4666666666666666,30.383333333333336
1235,D1,1,25.53333333333333,5.490000000000001,18.3,0.4000000000000001,23.6125
1235,D1,2,28.833333333333332,2.6350000000000002,17.566666666666666,0.20000000000000004,23.25
1235,D1,3,28.400000000000002,2.9924999999999997,19.7,0.19999999999999998,23.425
1235,RD2,1,33.23333333333333,7.425,19.8,0.5,22.133333333333336
1235,RD2,2,28.666666666666668,6.7625,18.033333333333335,0.5,20.758333333333333
1235,RD2,3,29.866666666666664,4.62,18.8,0.3333333333333333,26.175
1252,CK1,1,39.4,12.82,26.900000000000002,0.6333333333333333,34.86666666666667
1252,CK1,2,37.03333333333333,13.115,27.633333333333336,0.6333333333333333,27.65833333333333
1252,CK1,3,39.166666666666664,19.3,32.166666666666664,0.8000000000000002,29.333333333333332
1252,D1,1,22.46666666666667,7.985,22.46666666666667,0.4666666666666666,32.2125
1252,D1,2,19.833333333333332,8.2925,19.833333333333332,0.5666666666666667,29.7375
1252,D1,3,18.766666666666666,7.515,18.766666666666666,0.5333333333333333,32.4375
1252,RD2,1,32.13333333333333,11.5575,23.066666666666666,0.6666666666666666,21.583333333333332
1252,RD2,2,35.13333333333333,13.1425,25.03333333333333,0.6999999999999998,20.675
1252,RD2,3,35.36666666666667,11.525,23.03333333333333,0.6666666666666666,22.825
1257,CK1,1,32.53333333333333,7.25,24.166666666666668,0.4000000000000001,25.483333333333334
1257,CK1,2,31.76666666666667,6.9700000000000015,23.233333333333334,0.4000000000000001,24.525000000000002
1257,CK1,3,33.03333333333333,6.75,22.5,0.4000000000000001,24.849999999999998
1257,D1,1,27.733333333333334,4.185,18.333333333333332,0.3,24.4375
1257,D1,2,28.5,4.88,17.333333333333332,0.3666666666666667,26.6875
1257,D1,3,27.46666666666667,2.595,14.4,0.2333333333333333,28.425
1257,RD2,1,28.866666666666664,5.830000000000001,19.433333333333334,0.4000000000000001,18.724999999999998
1257,RD2,2,29.133333333333336,7.2875000000000005,20.833333333333332,0.4666666666666666,17.349999999999998
1257,RD2,3,27.03333333333333,6.7075000000000005,22.166666666666668,0.39999999999999997,19.958333333333332
1274,CK1,1,39.53333333333333,9.69,20.366666666666667,0.6333333333333333,22.558333333333334
1274,CK1,2,42.233333333333334,12.3675,26.03333333333333,0.6333333333333333,22.483333333333334
1274,CK1,3,34.63333333333333,13.055,24.866666666666664,0.6999999999999998,21.091666666666665
1274,D1,1,27.233333333333334,7.935,19.8,0.5333333333333333,19.8125
1274,D1,2,27.233333333333334,5.565,20.400000000000002,0.3666666666666667,20.4
1274,D1,3,26.333333333333332,6.44,19.5,0.43333333333333335,23.925
1274,RD2,1,28.599999999999998,8.9125,18.866666666666664,0.6333333333333333,15.283333333333333
1274,RD2,2,36.36666666666667,9.045,20.099999999999998,0.6,15.891666666666667
1274,RD2,3,37.06666666666666,8.505,18.900000000000002,0.6,16.25
73,CK1,1,39.300000000000004,15.18,30.333333333333332,0.6666666666666666,21.05
73,CK1,2,43.03333333333333,11.85,26.333333333333332,0.6,25.383333333333336
73,CK1,3,36.666666666666664,12.765,26.900000000000002,0.6333333333333333,24.366666666666664
73,D1,1,30.5,4.152500000000001,14.966666666666669,0.3666666666666667,21.4125
73,D1,2,26.733333333333334,5.22,17.4,0.4000000000000001,19.5
73,D1,3,26.2,4.57,16.666666666666668,0.3666666666666667,20.8375
73,RD2,1,32.56666666666666,7.535000000000001,23.3,0.43333333333333335,17.258333333333333
73,RD2,2,28.100000000000005,7.219999999999999,20.633333333333333,0.4666666666666666,18.741666666666667
73,RD2,3,30.433333333333334,9.4525,23.53333333333333,0.5333333333333333,17.233333333333334
