Variety,Treatment,Replicate,Fv/Fm,PIabs,Vj,Vi,TRo/RC,ETo/RC,ABS/RC,DIo/RC
1210,D1,1,0.7720857142857143,0.7848722222222222,0.6857027777777778,0.8614611111111112,2.155575,0.6182722222222222,2.8857472222222222,0.6789771428571428
1210,D1,2,0.8109393939393941,1.5209666666666666,0.5596583333333334,0.8632166666666666,1.6449085714285716,0.7166176470588234,2.0333514285714287,0.3884514285714286
1210,D1,3,0.81496875,1.366097142857143,0.5677861111111112,0.8650583333333333,1.7952285714285714,0.7632088235294118,2.1744882352941177,0.38889687500000003
1210,RD2,1,0.8069032258064517,1.0827542857142858,0.5773151515151516,0.8599571428571428,1.8715903225806452,0.7533457142857144,2.25042,0.42873870967741934
1210,RD2,2,0.8091142857142858,1.3716611111111114,0.5685611111111111,0.8636055555555555,1.6692388888888887,0.7012827586206897,2.0651944444444443,0.3916257142857143
1210,RD2,3,0.79609375,1.0314222222222222,0.6232527777777777,0.8607441176470589,1.946236111111111,0.7230393939393939,2.4444848484848487,0.50255625
1214,CK1,1,0.8278000000000002,3.112475757575758,0.4690529411764706,0.8870906250000001,1.18081875,0.6245242424242424,1.4224181818181818,0.24611764705882355
1214,CK1,2,0.8253030303030303,3.6275882352941173,0.4536121212121212,0.8684558823529411,1.0807242424242425,0.5883090909090909,1.3141181818181817,0.22909687499999998
1214,CK1,3,0.8286486486486485,3.5159081081081083,0.45086315789473685,0.8803783783783783,1.1707638888888887,0.6433142857142858,1.4152222222222222,0.2442368421052631
1214,D1,1,0.8185,2.933391428571429,0.47609999999999997,0.868425,1.2022117647058823,0.6330545454545454,1.4696058823529412,0.2673941176470588
1214,D1,2,0.8246285714285714,3.619897142857143,0.43959444444444445,0.8757696969696969,1.183914285714286,0.6507066666666665,1.4392514285714284,0.24902571428571427
1214,D1,3,0.8090571428571428,2.024190625,0.5175806451612905,0.9014742857142856,1.3040764705882353,0.6111558823529412,1.6036114285714285,0.30385588235294114
1214,RD2,1,0.7970967741935483,1.4974888888888889,0.5506444444444445,0.8300542857142859,1.8283514285714284,0.7849228571428571,2.1591129032258065,0.4470774193548387
1214,RD2,2,0.8113333333333335,1.6103972222222223,0.5324200000000001,0.8302638888888889,1.7606457142857141,0.7920599999999999,2.121342424242424,0.40098750000000005
1214,RD2,3,0.8097272727272726,1.932997222222222,0.5020676470588237,0.8354472222222223,1.5977027777777777,0.7590944444444445,1.9850861111111113,0.37836285714285717
1218,CK1,1,0.8307777777777778,3.908490909090909,0.4305342857142857,0.8112257142857144,1.1383777777777777,0.6465277777777777,1.3709472222222223,0.23257222222222224
1218,CK1,2,0.8283055555555555,3.1747970588235295,0.4594361111111111,0.8368031250000001,1.2518555555555557,0.6673057142857144,1.5132416666666668,0.2613888888888889
1218,CK1,3,0.8253611111111111,2.7926685714285715,0.475275,0.8544200000000001,1.2968333333333333,0.678961111111111,1.571463888888889,0.2779617647058824
1218,D1,1,0.8062857142857143,2.377374285714285,0.48945555555555553,0.8536944444444444,1.4071666666666665,0.6927777777777777,1.7492222222222218,0.34204722222222217
1218,D1,2,0.8123428571428573,2.8929171428571423,0.46998888888888884,0.8393638888888888,1.3247166666666668,0.6876799999999998,1.6358388888888888,0.311125
1218,D1,3,0.7990882352941178,1.91325,0.5183666666666666,0.8491857142857142,1.5518555555555555,0.7198583333333333,1.9685444444444447,0.3831323529411765
1218,RD2,1,0.8115000000000002,1.2435771428571427,0.5662935483870968,0.8467114285714286,1.5287388888888886,0.6125257142857141,1.9270612903225808,0.3494142857142856
1218,RD2,2,0.8130714285714287,1.2294028571428572,0.5895742857142857,0.8532555555555555,1.6413068965517241,0.7148166666666667,1.9689071428571427,0.3687892857142857
1218,RD2,3,0.8042999999999999,1.5324611111111115,0.5751333333333334,0.85112,1.8011444444444444,0.7148676470588236,2.3428416666666667,0.5005914285714285
1219,CK1,1,0.8193939393939392,2.4580857142857147,0.46686969696969693,0.8206199999999999,1.4085694444444445,0.7193314285714285,1.728472222222222,0.31401428571428575
1219,CK1,2,0.8145555555555555,2.9795999999999996,0.4597285714285714,0.8265942857142857,1.2449057142857143,0.6607228571428573,1.5191999999999999,0.2831972222222222
1219,CK1,3,0.8134,2.5829057142857144,0.47478,0.8435138888888889,1.3193,0.6713714285714287,1.6253147058823527,0.29907941176470587
1219,D1,1,0.8085142857142856,2.4670542857142856,0.4735424242424242,0.8081354838709678,1.2783999999999998,0.664478125,1.56973,0.29950882352941177
1219,D1,2,0.8168611111111111,2.7199147058823527,0.46987499999999993,0.8061612903225808,1.2859800000000001,0.6707114285714286,1.5610722222222222,0.28692222222222225
1219,D1,3,0.8063428571428571,1.809461111111111,0.5294657142857143,0.8433,1.3771413793103449,0.6906764705882352,1.7419000000000004,0.34992647058823534
1219,RD2,1,0.7884705882352941,1.2093555555555553,0.5541472222222222,0.8355294117647059,1.8703527777777782,0.8088138888888889,2.392752777777778,0.5006088235294118
1219,RD2,2,0.8017500000000001,1.9575888888888893,0.48063999999999996,0.81515,1.5154074074074073,0.7802676470588236,1.87115,0.3664103448275862
1219,RD2,3,0.788625,1.1823114285714282,0.5476083333333333,0.8438228571428571,1.959836111111111,0.8638382352941177,2.536030555555555,0.5587228571428571
1228,CK1,1,0.8296388888888887,3.2542250000000004,0.44520000000000004,0.85805,1.3105914285714289,0.7287472222222222,1.5867666666666664,0.2706805555555556
1228,CK1,2,0.8315294117647057,3.462922222222222,0.43945,0.8495194444444444,1.2651111111111113,0.7084944444444444,1.5225972222222222,0.252046875
1228,CK1,3,0.8273611111111111,3.5074222222222224,0.43390606060606063,0.8623861111111111,1.242986111111111,0.7001055555555555,1.502736111111111,0.2597583333333333
1228,D1,1,0.7814545454545455,1.1636542857142858,0.5898028571428572,0.8809571428571429,1.7690305555555554,0.6894314285714286,2.180748484848485,0.49248181818181824
1228,D1,2,0.8116764705882353,2.3381970588235292,0.4895483870967741,0.8594027777777777,1.3376314285714284,0.6514171428571429,1.6191090909090908,0.30348484848484847
1228,D1,3,0.8058484848484848,2.1935916666666664,0.5381833333333332,0.8630942857142857,1.451685294117647,0.6621628571428572,1.7017096774193547,0.34821250000000004
1228,RD2,1,0.6773714285714285,0.6410694444444444,0.6609722222222223,0.8700096774193546,2.0265083333333336,0.6550638888888887,3.05015625,1.0262687499999998
1228,RD2,2,0.7565333333333335,0.3989666666666667,0.743886111111111,0.8743472222222222,2.3732333333333333,0.5628555555555557,3.347914705882353,0.7652166666666668
1228,RD2,3,0.74984375,0.5970444444444444,0.6571416666666666,0.8632696969696969,2.0450233333333334,0.687009375,2.6742827586206896,0.6336551724137931
1235,CK1,1,0.8293529411764706,5.422205714285714,0.3844828571428572,0.8420852941176471,1.003476470588235,0.6111484848484848,1.2109764705882353,0.20466111111111113
1235,CK1,2,0.8271142857142856,4.384041176470589,0.4203484848484848,0.8485857142857144,1.0515583333333334,0.6077805555555557,1.2725916666666666,0.22103888888888887
1235,CK1,3,0.824,3.4643057142857145,0.45167941176470583,0.8629687500000001,1.1560171428571429,0.6288857142857144,1.402365714285714,0.2446972222222222
1235,D1,1,0.7675172413793104,1.448325,0.6058305555555555,0.8575470588235296,1.8915499999999998,0.6882454545454545,2.4062827586206894,0.5453535714285713
1235,D1,2,0.8131249999999999,1.8154441176470588,0.5277428571428572,0.8815875,1.3426225806451615,0.6062454545454545,1.627069696969697,0.3022125
1235,D1,3,0.81828125,2.4370114285714286,0.49559696969696976,0.8671205882352941,1.2699866666666666,0.6586848484848484,1.5414551724137933,0.27846000000000004
1235,RD2,1,0.8041724137931034,1.3098888888888889,0.5848583333333334,0.8423542857142857,1.8624749999999999,0.7241194444444445,2.229477419354839,0.41205517241379314
1235,RD2,2,0.7690689655172416,1.1242685714285714,0.5556714285714286,0.8438657142857143,1.6071555555555554,0.6913314285714286,2.0808942857142863,0.4715575757575758
1235,RD2,3,0.767625,1.3051257142857142,0.5600416666666665,0.8451,1.7582571428571427,0.730160606060606,2.372548484848485,0.5362935483870968
