Sample_ID,Treatment,Variety,Sample,D_conv,D_stress,D_recovery,Category,Rank,R460,R520,R590,R660,R680,R710,R730,R780,R820,R850,R910,VI_NDVI,VI_NDRE,VI_EVI,VI_SIPI,VI_PRI,VI_MTCI,VI_GNDVI,VI_NDWI,BF(F440),GF(F520),RF(F690),FrF(f740),SR_F690_F740,SR_F440_F690,SR_F440_F520,SR_F520_F690,SR_F440_F740,SR_F520_F740,OJIP_FvFm,OJIP_PIabs,OJIP_TRo_RC,OJIP_ETo_RC,OJIP_Vi,OJIP_Vj,OJIP_ABS_RC_log,OJIP_DIo_RC_log,Trt_CK1,Trt_D1,Trt_RD2
D1_1099_1,D1,1099,1,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,0.0325189140711036,0.1389756853169243,0.1403316214071671,0.1644892910225539,0.0783666552957469,0.1645908268867387,0.3168873483342758,0.3468738151412635,0.3713851474571615,0.3382736155303018,0.3210670182236401,0.6515115456299742,0.3858275939020666,0.4585024330940246,1.1564670573739326,-0.004854638806790056,1.7662857019950555,0.45538263756833897,0.026096673594491353,0.075571418400345,0.0911210219262831,0.0841541880660641,0.2737777260059549,0.3121023880045408,0.9118036121589316,0.8420899046335762,1.0994166669712635,0.2802714955686114,0.3379402641052321,0.8292950408872691,2.129932662283593,1.4903924119116727,0.7027594121780228,0.8719721388283544,0.5252636403365328,1.0531364513693018,0.2786204159864743,False,True,False
D1_1099_2,D1,1099,2,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,0.027719090520408,0.1297042239594527,0.0662590138775484,0.1342122367857985,0.0611998603963263,0.1343137726499833,0.2220927318149486,0.2306526273349062,0.2611386759627823,0.2632241346972545,0.2615737309151973,0.6202758684233448,0.3207083525660207,0.3518947644986165,1.1674550775999266,0.3237607766752504,1.2005780631794165,0.33628460956942235,0.0031448370700423917,0.0675491728253863,0.0648494365781863,0.067028420959266,0.2626471974304231,0.2591228351566619,1.0232470837369354,1.057628869109411,0.982350990916564,0.2611359916361234,0.2506991754238661,0.822789984278729,2.003599483712296,1.6093896242956158,0.6530546492260466,0.8783181303399059,0.5640193156077462,1.1627820461250808,0.425329587217,False,True,False
D1_1099_3,D1,1099,3,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,0.0225817740252566,0.1163131460431202,0.0864660678001842,0.112184663453515,0.0789948270627873,0.1122861993176999,0.1857785940808043,0.1836754298140339,0.1817326676759033,0.1988275944506411,0.2266193335339147,0.39404298620704775,0.23619731981252176,0.17280359204653428,1.5490971262474516,0.14719002839216067,2.2075507792340883,0.219494851534657,-0.06532363323183395,0.0674739722377476,0.068216883201923,0.0753471814400111,0.2566735925232124,0.2980610939820022,0.909261360674106,1.0043009515204886,0.9192726318612487,0.2669159694647146,0.2698548034128648,0.8138374146802474,1.848150896086001,1.5422208296966822,0.6748284512123481,0.8809157561986345,0.5524837132600814,1.105691645161374,0.3521530835547133,False,True,False
RD2_1099_1,RD2,1099,1,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,0.0582935237737428,0.1745954608840411,0.2012938000128447,0.1583227928183782,0.1365892823923488,0.2014071542091805,0.2656296279651473,0.3732443851109697,0.4143449991737374,0.4050577263446573,0.362128324575646,0.5041539909112934,0.34581745885042353,0.38648483643885406,1.2818871183855047,-0.07102713992174281,0.9908142917350407,0.4070862074345774,0.05595696339566388,0.0946180867381757,0.1655118126426807,0.1183761138019669,0.3014097111508128,0.3987735154180512,0.81157666759587,0.580449760363771,1.4196601303511909,0.318739869546938,0.5575595046239726,0.8207313128499703,1.4411035144064626,2.209041525464876,0.8144375935055359,0.8566005491376626,0.5500819376999032,1.4520381882850524,0.4140575128664468,False,False,True
RD2_1099_2,RD2,1099,2,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,0.0461032667331772,0.1693049726762653,0.1442050770437233,0.1510587709608171,0.1095291528256576,0.1941431323516191,0.2270820118580914,0.3085846733992782,0.3350694395810871,0.4715294929447769,0.4334252025637468,0.5072897004340762,0.26629432992266094,0.3424603947782056,1.2812175465630136,0.08006089646874148,0.3892841311921267,0.3286536011272555,0.042106296116423914,0.0906784205885081,0.1442229523385679,0.1109003393950396,0.3028798749318905,0.3717764938202979,0.8302149334406228,0.6383943499695671,1.3204470038106146,0.3039855915271054,0.4834854775137235,0.8207313128499703,1.4119655418260897,2.1477054021752275,0.7526925063184753,0.8769782329914227,0.5660258888175923,1.445593342227454,0.4367226325820563,False,False,True
RD2_1099_3,RD2,1099,3,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3,0.0687198120030729,0.1788452112519741,0.220019880190235,0.198952762004308,0.1848424751644379,0.2980892678214958,0.3504017721679897,0.4587980635808548,0.4907648539716783,0.3876952740876724,0.3480152934101195,0.4528109237630924,0.24424742272019107,0.3669152751994913,1.3795821136528659,-0.10322956263076888,0.4619336505618342,0.46582281079589477,0.05393422689646495,0.0922420830320395,0.151696507197831,0.1108463604486786,0.2806743308839226,0.400994311107213,0.8449424562409219,0.617409047947513,1.389548188654668,0.3336920616139902,0.5487725186009007,0.8207313128499703,1.5876620730352418,2.0004078880904355,0.7634976145321436,0.8884687082883386,0.5389778627750237,1.3829651871609607,0.3661048406688817,False,False,True
CK1_1110_1,CK1,1110,1,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11,0.0378590239513672,0.1533590596847874,0.0953071202981385,0.1049719508525385,0.0602302447592347,0.1280224539319222,0.2064880506965686,0.2257243127866329,0.1954973751724023,0.2505776844196032,0.2136983157436862,0.5289500228771855,0.20856502498559884,0.2656596894424711,1.1653854912093986,0.2334532962650366,1.157442687326659,0.12078984727589992,0.07943414835775758,0.0526745518597832,0.0638287248823966,0.0505113861998857,0.1960126880683799,0.2563654493394918,1.0374470818746628,0.8209922778905712,1.2571331322437105,0.2673443786090401,0.3239562594953974,0.8221545397358722,3.5265320132323543,1.1868638521495098,0.6404603485050097,0.803126538550408,0.4524682506624098,0.8893731766464766,0.2234485460987101,True,False,False
CK1_1110_2,CK1,1110,2,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11,0.0404967297123197,0.117609997521563,0.0929656131915481,0.066794149428571,0.0482878547358322,0.0775437316678929,0.1382569084719115,0.2030180503511523,0.1856673088981604,0.1820949374691413,0.1607447193315011,0.5872041977122133,0.41078663340922317,0.29312770570905805,1.056712447076012,0.11703342208794772,2.075247204006547,0.22440621152975052,0.06227464563720265,0.0535086298578552,0.0709130743266483,0.0586991891483675,0.1828343080831244,0.3193955060901834,0.9068722644850288,0.7506749228886559,1.2018453932952269,0.2911525041758991,0.3858540056783823,0.8254430473567441,4.070415248851448,1.08942177885575,0.6071690448842978,0.803126538550408,0.4368879095141094,0.8370113018414594,0.2014293856849134,True,False,False
CK1_1110_3,CK1,1110,3,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11,0.0347984493662694,0.1143741340227589,0.0557424371558662,0.0604207435228404,0.0403978971334393,0.0782091643686019,0.154681833525456,0.1664544089646649,0.1622397521461661,0.1672834472901793,0.187455983594772,0.6012794534771069,0.34947376347359493,0.26634689810622086,1.0459566851357032,0.34465599947537434,2.0224836338132124,0.17304126985937432,-0.05686578527306438,0.046308353922475,0.0463925879696571,0.0479522015802698,0.1693089041395627,0.2817624690530124,0.96073847562713,0.9930363245980516,0.9624860413087156,0.2721033802198975,0.2725983312822096,0.8196121640962061,2.9475197785573566,1.2474248979574214,0.6328332215860122,0.8163098392164229,0.4827971339725547,0.9210437532580992,0.2378146674347158,True,False,False
D1_1110_1,D1,1110,1,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11,0.0334225319887811,0.1417345392160633,0.1302628518890362,0.1354977321222432,0.0928582875285994,0.1629824721493884,0.2758757663407921,0.2672183819339339,0.2321647382843792,0.2611070662908918,0.2762710974924867,0.4286048670162159,0.17507972803109725,0.22634592105753792,1.4266547257313735,0.04217572558478865,1.6099052673752636,0.24185711101891305,-0.02821854742818991,0.0577038854156772,0.0837989145692913,0.0836843141216375,0.2237794497875876,0.3720302474779048,0.685986212975517,0.6850480823636586,0.9962050153598369,0.2565306413389168,0.3725397196932081,0.7901879989161299,2.339524335260943,1.3092077587668982,0.6159477268435251,0.8377916196351513,0.5291790929158828,0.9695946404836774,0.3050229840480914,False,True,False
D1_1110_2,D1,1110,2,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11,0.0245896028750677,0.109621237442115,0.0745415742258768,0.0906975556119298,0.0526183784217993,0.0917229324593796,0.1255124513538968,0.138008633257041,0.1204027877683193,0.1355202874528457,0.1469534820363703,0.39176946288777953,0.1352021587865645,0.13538566498661223,1.413498853452362,0.19048179650666774,0.8640814280107826,0.046871409698795365,-0.04047524343304054,0.0544121138596946,0.0795821899856967,0.0800204772465282,0.2209755476817131,0.3602560725204113,0.6764704845936902,0.6801960467503557,0.9893936994153288,0.244965977598909,0.3582828819989848,0.800925250600829,2.450722871526722,1.3214194521926417,0.6789046853466432,0.8452805739650366,0.4969434278759885,0.9664541458642522,0.2897942996120136,False,True,False
D1_1110_3,D1,1110,3,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11,0.0463846476918116,0.1536850937171921,0.1674146021674021,0.141572757829527,0.0987312882951994,0.1673800889295479,0.2511128772432228,0.295226294249263,0.29031706931106,0.2976153709758732,0.2779556620955734,0.4924472170880029,0.268598959307685,0.312065565231538,1.2732282131055135,-0.042757774691709695,1.2197268931131058,0.30772817560614885,0.03415687682437528,0.0581875490252644,0.074725908803683,0.0853734206421013,0.1635946303337461,0.5191681358355922,0.6780500825453633,0.7746637790117068,0.8707689098679015,0.3538469131151486,0.4544190742323022,0.7999470387823566,1.7740668315778605,1.42642785646619,0.6734385777213614,0.8577547953100931,0.5394508431904894,1.018693190504822,0.3168417436221732,False,True,False
